INTEGER;CATEGORICAL;STRING;DOUBLE
#;Estado;Nome Município;Valor
384;BAHIA;GOVERNADOR MANGABEIRA;2826311
385;BAHIA;GUANAMBI;10647261
386;BAHIA;GUARATINGA;3744407
387;BAHIA;IACU;4750782
388;BAHIA;IBIASSUCE;1605533
389;BAHIA;IBICARAI;4260620
390;BAHIA;IBICOARA;2303095
391;BAHIA;IBICUI;2349557
392;BAHIA;IBIPEBA;2849466
393;BAHIA;SANTA RITA DE CASSIA;5062915
394;BAHIA;IBIPITANGA;2371920
395;BAHIA;IBIQUERA;793217
396;BAHIA;IBIRAPITANGA;4255388
397;BAHIA;IBIRAPUA;1001633
398;BAHIA;IBIRATAIA;3736749
399;BAHIA;IBITIARA;2393699
400;BAHIA;IBITITA;3377453
401;BAHIA;IBOTIRAMA;3637223
402;BAHIA;ICHU;878685
403;BAHIA;IGAPORA;2310811
404;BAHIA;IGUAI;3943929
405;BAHIA;ILHEUS;25252291
406;BAHIA;INHAMBUPE;6222373
407;BAHIA;IPECAETA;2690874
408;BAHIA;IPIAU;6376614
409;BAHIA;IPIRA;9245707
410;BAHIA;IPUPIARA;1415255
411;BAHIA;IRAJUBA;1230529
412;BAHIA;IRAMAIA;2417155
413;BAHIA;IRAQUARA;3789783
414;BAHIA;IRARA;5075036
415;BAHIA;IRECE;7408604
416;BAHIA;ITABERABA;9145596
417;BAHIA;ITABUNA;21805649
418;BAHIA;ITACARE;3121014
419;BAHIA;ITAETE;2767706
420;BAHIA;ITAGI;2249028
421;BAHIA;ITAGIBA;2581001
422;BAHIA;ITAGIMIRIM;1028576
423;BAHIA;ITAJU DO COLONIA;1342186
424;BAHIA;ITAJUIPE;3018637
425;BAHIA;ITAMARAJU;9134967
426;BAHIA;ITAMARI;1320588
427;BAHIA;ITAMBE;3817056
428;BAHIA;ITANAGRA;1110443
429;BAHIA;ITANHEM;3059987
430;BAHIA;ITAPARICA;3122697
431;BAHIA;ITAPE;1810550
432;BAHIA;ITAPEBI;1832545
433;BAHIA;ITAPETINGA;8283010
434;BAHIA;ITAPICURU;5796626
435;BAHIA;ITAPITANGA;1571307
436;BAHIA;ITAQUARA;1140219
437;BAHIA;ITARANTIM;2467807
438;BAHIA;ITIRUCU;2008636
439;BAHIA;ITIUBA;6702994
440;BAHIA;ITORORO;2389071
441;BAHIA;ITUACU;2654705
442;BAHIA;ITUBERA;4077884
443;BAHIA;JACARACI;1936893
444;BAHIA;JACOBINA;11768576
445;BAHIA;JAGUAQUARA;6596942
446;BAHIA;JAGUARARI;4385893
447;BAHIA;JAGUARIPE;2966625
448;BAHIA;JANDAIRA;1856002
449;BAHIA;JEQUIE;18065274
450;BAHIA;JEREMOABO;7111611
451;BAHIA;JIQUIRICA;2380310
452;BAHIA;JITAUNA;3110589
453;BAHIA;JUAZEIRO;28644511
454;BAHIA;JUSSARA;2903280
455;BAHIA;JUSSIAPE;1102302
456;BAHIA;LAFAIETE COUTINHO;626346
457;BAHIA;LAJE;3450239
458;BAHIA;LAJEDAO;549415
459;BAHIA;LAJEDINHO;781131
460;BAHIA;LAMARAO;1630168
461;BAHIA;LAURO DE FREITAS;17449485
462;BAHIA;LENCOIS;1637249
463;BAHIA;LICINIO DE ALMEIDA;1828414
464;BAHIA;LIVRAMENTO DE NOSSA SENHORA;5681482
465;BAHIA;MACAJUBA;2033013
466;BAHIA;MACARANI;2619475
467;BAHIA;MACAUBAS;7511321
468;BAHIA;MACURURE;1411721
469;BAHIA;MAIQUINIQUE;1259386
470;BAHIA;MAIRI;3451073
471;BAHIA;MALHADA;2931649
472;BAHIA;MALHADA DE PEDRAS;1367986
473;BAHIA;MANOEL VITORINO;2461791
474;BAHIA;MARACAS;4255899
475;BAHIA;MARAGOGIPE;7517649
476;BAHIA;MARAU;3593678
477;BAHIA;MARCIONILIO SOUZA;1906113
478;BAHIA;MASCOTE;2926361
479;BAHIA;MATA DE SAO JOAO;4832250
480;BAHIA;MEDEIROS NETO;3482223
481;BAHIA;MIGUEL CALMON;4662344
482;BAHIA;MILAGRES;2101784
483;BAHIA;MIRANGABA;2983709
484;BAHIA;MONTE SANTO;10177119
485;BAHIA;MORPARA;1522323
486;BAHIA;MORRO DO CHAPEU;5741992
487;BAHIA;MORTUGABA;1807087
488;BAHIA;MUCUGE;1864085
489;BAHIA;MUCURI;2025121
